course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
GLBL 100,GLBL,100,Intro to Global Studies,3 Hours,"Foundation course for understanding a range of contemporary issues and learning to analyze them from multiple disciplinary perspectives. Students consider globalizing trends within themes of wealth and poverty; population, cultures, and human rights; environment and sustainability; and governance, conflict, and cooperation. Course objectives are to enhance knowledge of human cultures, their interactions and impacts on the world; develop skills for successfully negotiating realities of contemporary societies; and promote values for global learning, diversity, and sustainable futures.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,,"[GLBL 100 Intro to Global Studies credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/100>)

Foundation course for understanding a range of contemporary issues and learning to analyze them from multiple disciplinary perspectives. Students consider globalizing trends within themes of wealth and poverty; population, cultures, and human rights; environment and sustainability; and governance, conflict, and cooperation. Course objectives are to enhance knowledge of human cultures, their interactions and impacts on the world; develop skills for successfully negotiating realities of contemporary societies; and promote values for global learning, diversity, and sustainable futures.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 118,GLBL,118,Natural Disasters,3 Hours,Same as ESE 118 and GEOL 118. See GEOL 118.,,,Nat Sci & Tech - Phys Sciences,,,,"[GLBL 118 Natural Disasters credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/118>)

Same as [ESE 118](<https://catalog.illinois.edu/search/?P=ESE%20118>) and [GEOL 118](<https://catalog.illinois.edu/search/?P=GEOL%20118>). See [GEOL 118](<https://catalog.illinois.edu/search/?P=GEOL%20118>).
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 130,GLBL,130,Resistance Movements,3 Hours,"Is it possible for a group of people to have secure human rights when the same rights are being denied to large groups of people based on their identity? This course takes a comparative survey approach to social movements of U.S. groups seeking to overcome discrimination across political, economic, and social spheres. The cases covered take place over the course of centuries and represent a wide range of racial, ethnic, and gender groups, but they also contain many similar ideological features rooted in social movement literature. A close study of these movements demonstrates that human rights are not freely recognized or bestowed, but must be achieved by struggle.",,,Cultural Studies - US Minority,,,,"[GLBL 130 Resistance Movements credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/130>)

Is it possible for a group of people to have secure human rights when the same rights are being denied to large groups of people based on their identity? This course takes a comparative survey approach to social movements of U.S. groups seeking to overcome discrimination across political, economic, and social spheres. The cases covered take place over the course of centuries and represent a wide range of racial, ethnic, and gender groups, but they also contain many similar ideological features rooted in social movement literature. A close study of these movements demonstrates that human rights are not freely recognized or bestowed, but must be achieved by struggle.
This course satisfies the General Education Criteria for:
Cultural Studies - US Minority",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 199,GLBL,199,Undergraduate Open Seminar,0 to 6 Hours,See Class Schedule for topics. Approved for Letter and S/U grading. May be repeated in the same or separate terms to a maximum of 6 hours.,,,,,,,"[GLBL 199 Undergraduate Open Seminar credit: 0 to 6 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/199>)

See Class Schedule for topics. Approved for Letter and S/U grading. May be repeated in the same or separate terms to a maximum of 6 hours.",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 200,GLBL,200,Foundations of Research,3 Hours,"Introduction to the foundations of interdisciplinary social science research. Topic include understanding the purpose for research, identifying researchable issues, finding evaluating and using sources effectively, recognizing methods associated with different types of data and disciplines, and writing a literature review. Prepares students for course-based research papers and advanced research methods courses. Guest faculty present their Global Studies-relevant research as students (b)log their own research interests.",,,"Quantitative Reasoning II
Social & Beh Sci - Soc Sci",,,,"[GLBL 200 Foundations of Research credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/200>)

Introduction to the foundations of interdisciplinary social science research. Topic include understanding the purpose for research, identifying researchable issues, finding evaluating and using sources effectively, recognizing methods associated with different types of data and disciplines, and writing a literature review. Prepares students for course-based research papers and advanced research methods courses. Guest faculty present their Global Studies-relevant research as students (b)log their own research interests.
This course satisfies the General Education Criteria for:
Quantitative Reasoning II
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 201,GLBL,201,Energy Systems,2 or 3 Hours,Same as NPRE 201. See NPRE 201.,,,,,,,"[GLBL 201 Energy Systems credit: 2 or 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/201>)

Same as [NPRE 201](<https://catalog.illinois.edu/search/?P=NPRE%20201>). See [NPRE 201](<https://catalog.illinois.edu/search/?P=NPRE%20201>).",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 220,GLBL,220,Governance,3 Hours,"Gateway course into the Governance thematic area for Global Studies majors providing an introduction to important themes, problems and approaches to global governance in a series of issue areas, including security, economics, migration, and the environment. Covers the historical development of the international system as well as contemporary controversies. Case studies are used to explore the strength and weaknesses of current governance approaches, and students will conduct independent research into existing structures.",,,,,,,"[GLBL 220 Governance credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/220>)

Gateway course into the Governance thematic area for Global Studies majors providing an introduction to important themes, problems and approaches to global governance in a series of issue areas, including security, economics, migration, and the environment. Covers the historical development of the international system as well as contemporary controversies. Case studies are used to explore the strength and weaknesses of current governance approaches, and students will conduct independent research into existing structures.",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 221,GLBL,221,Geographies of Global Conflict,3 Hours,Same as GGIS 221. See GGIS 221.,,,Social & Beh Sci - Soc Sci,,,,"[GLBL 221 Geographies of Global Conflict credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/221>)

Same as [GGIS 221](<https://catalog.illinois.edu/search/?P=GGIS%20221>). See [GGIS 221](<https://catalog.illinois.edu/search/?P=GGIS%20221>).
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 225,GLBL,225,Career Development:Internships,1 Hour,"Teaches students with global studies academic interests how to identify internships and service-learning learning opportunities relevant to their major. Students prepare application materials, conduct informational interviews, participate in mock job interviews, explore networking strategies, and create a career narrative that represents their academic interests and skills. Prepares students on what to expect from their internships and how to develop and apply leadership skills.",,,,,,,"[GLBL 225 Career Development:Internships credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/GLBL/225>)

Teaches students with global studies academic interests how to identify internships and service-learning learning opportunities relevant to their major. Students prepare application materials, conduct informational interviews, participate in mock job interviews, explore networking strategies, and create a career narrative that represents their academic interests and skills. Prepares students on what to expect from their internships and how to develop and apply leadership skills.",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 228,GLBL,228,"Terrorism, Past and Present",3 Hours,Same as HIST 257. See HIST 257.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[GLBL 228 Terrorism, Past and Present credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/228>)

Same as [HIST 257](<https://catalog.illinois.edu/search/?P=HIST%20257>). See [HIST 257](<https://catalog.illinois.edu/search/?P=HIST%20257>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 240,GLBL,240,Global Health,3 Hours,"Introduction to issues and problems in global health. As the world becomes more and more interconnected it is important for students to be aware of health issues from a global perspective. We will consider a variety of issues that influence the health of different population and countries. The topics to be discussed include: the environment, nutrition, education, the medical system, culture, and agency involvement in health. Case studies will be used to demonstrate some successes at addressing these issues and problems that were encountered.",,,Cultural Studies - Western,,,,"[GLBL 240 Global Health credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/240>)

Introduction to issues and problems in global health. As the world becomes more and more interconnected it is important for students to be aware of health issues from a global perspective. We will consider a variety of issues that influence the health of different population and countries. The topics to be discussed include: the environment, nutrition, education, the medical system, culture, and agency involvement in health. Case studies will be used to demonstrate some successes at addressing these issues and problems that were encountered.
This course satisfies the General Education Criteria for:
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 250,GLBL,250,Development,3 Hours,"An interdisciplinary introduction to the theory and practice of international development. Topics include: defining development, how ideas have changed over time, and the interventions used in development work and their impacts.",,,Cultural Studies - Non-West,,,,"[GLBL 250 Development credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/250>)

An interdisciplinary introduction to the theory and practice of international development. Topics include: defining development, how ideas have changed over time, and the interventions used in development work and their impacts.
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 251,GLBL,251,Warfare Milit Insts & Soc,3 Hours,Same as HIST 251. See HIST 251.,,,,,,,"[GLBL 251 Warfare Milit Insts & Soc credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/251>)

Same as [HIST 251](<https://catalog.illinois.edu/search/?P=HIST%20251>). See [HIST 251](<https://catalog.illinois.edu/search/?P=HIST%20251>).",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 260,GLBL,260,Global Human Rights,3 Hours,"Examines how ideas about human rights are defined and how they are differentially deployed. Looks at human rights claims and crises, and examines how governmental and non-governmental individuals and organizations have sought to deal with human rights violations in order to address problems of justice, retribution, and reconciliation at personal, national, and international levels.",,,,,,,"[GLBL 260 Global Human Rights credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/260>)

Examines how ideas about human rights are defined and how they are differentially deployed. Looks at human rights claims and crises, and examines how governmental and non-governmental individuals and organizations have sought to deal with human rights violations in order to address problems of justice, retribution, and reconciliation at personal, national, and international levels.",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 270,GLBL,270,Introduction to Global Markets and Society,3 Hours,"Introduction to global markets and economic systems and their evolving relationship with societies in the global North and South. Presents interdisciplinary perspectives on business structures and conduct with emphasis on (1) the philosophical foundations of economic systems; (2) international business networks and technological innovation; (3) business environments in non-Western settings; (4) global workforce composition and divisions of labor; (5) the relationships between business, development and the environment; and (6) international organizations that support the spread of global business.",,,,,,,"[GLBL 270 Introduction to Global Markets and Society credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/270>)

Introduction to global markets and economic systems and their evolving relationship with societies in the global North and South. Presents interdisciplinary perspectives on business structures and conduct with emphasis on (1) the philosophical foundations of economic systems; (2) international business networks and technological innovation; (3) business environments in non-Western settings; (4) global workforce composition and divisions of labor; (5) the relationships between business, development and the environment; and (6) international organizations that support the spread of global business.",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 272,GLBL,272,Language and Culture in Turkey,3 Hours,"Same as ANTH 272, SAME 272, and TURK 270. See TURK 270.",,,Cultural Studies - Non-West,,,,"[GLBL 272 Language and Culture in Turkey credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/272>)

Same as [ANTH 272](<https://catalog.illinois.edu/search/?P=ANTH%20272>), [SAME 272](<https://catalog.illinois.edu/search/?P=SAME%20272>), and [TURK 270](<https://catalog.illinois.edu/search/?P=TURK%20270>). See [TURK 270](<https://catalog.illinois.edu/search/?P=TURK%20270>).
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 280,GLBL,280,Nuclear Weapons & Arms Control,3 Hours,Same as PHYS 280. See PHYS 280.,,,Advanced Composition,,,,"[GLBL 280 Nuclear Weapons & Arms Control credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/280>)

Same as [PHYS 280](<https://catalog.illinois.edu/search/?P=PHYS%20280>). See [PHYS 280](<https://catalog.illinois.edu/search/?P=PHYS%20280>).
This course satisfies the General Education Criteria for:
Advanced Composition",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 283,GLBL,283,Intro to Intl Security,3 Hours,Same as PS 283. See PS 283.,,,,,,,"[GLBL 283 Intro to Intl Security credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/GLBL/283>)

Same as [PS 283](<https://catalog.illinois.edu/search/?P=PS%20283>). See [PS 283](<https://catalog.illinois.edu/search/?P=PS%20283>).",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
GLBL 296,GLBL,296,Global St Foundation Seminar,1 Hour,"Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues. May be repeated in the same or separate terms to a maximum of 3 hours if topics vary.",,,,,,,"[GLBL 296 Global St Foundation Seminar credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/GLBL/296>)

Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues. May be repeated in the same or separate terms to a maximum of 3 hours if topics vary.",https://catalog.illinois.edu/courses-of-instruction/glbl/,2026–2027
